side,column,description,sample,fe,beta,se,tstat,pval,n_obs,r2,stars
cause,(I),All horizons,all,tech_cat + qtr_cat,0.1465843886521153,0.010700975789591925,13.698226361252724,1.0403460104469524e-42,48865,0.024470994833704407,***
cause,(II),Tenure 1--4q,1-4q,tech_cat + qtr_cat,0.25693922117204715,0.015211819072523992,16.89076237017162,5.261867998618627e-64,10810,0.07142356838687813,***
cause,(III),Tenure 5--12q,5-12q,tech_cat + qtr_cat,0.15116865546995983,0.014492696555243616,10.43067830018599,1.7960157094912863e-25,13670,0.0262284004827138,***
cause,(IV),Tenure 13+q,13+q,tech_cat + qtr_cat,0.10115061503977575,0.014372427113433736,7.037824178299814,1.952648559757453e-12,24385,0.011769351764264635,***
effect,(I),All horizons,all,tech_cat + qtr_cat,0.17229542243029414,0.01209969299476241,14.239652403153997,5.19849817837178e-46,48865,0.03278362033360349,***
effect,(II),Tenure 1--4q,1-4q,tech_cat + qtr_cat,0.2684427622704321,0.014868287336589965,18.054719833790845,7.242848728829602e-73,10810,0.07608867609146341,***
effect,(III),Tenure 5--12q,5-12q,tech_cat + qtr_cat,0.19622524955418297,0.015557699910304194,12.612741644683533,1.7963347000831054e-36,13670,0.0414358433304044,***
effect,(IV),Tenure 13+q,13+q,tech_cat + qtr_cat,0.11476133837776822,0.01649477037218698,6.957437768959522,3.4651693052354364e-12,24385,0.014882236736246335,***
