check,side,beta,se,n_obs,r2,beta_peer,se_peer,beta_interact,se_interact,beta_min,beta_max,beta_mean
A,cause,0.1471840112285403,0.032055575914699506,17280.0,0.008272102033715867,,,,,,,
A,effect,0.15957031271186856,0.039497206033115885,17280.0,0.00996828332927524,,,,,,,
B,cause,0.0606572374893268,0.025846858229856138,36950.0,0.0029223966562809123,,,,,,,
B,effect,0.10468468860963981,0.01749649767336027,36950.0,0.006959926796440974,,,,,,,
D,cause,,,36950.0,0.002937523995720115,0.0781266590081267,0.07601660852832502,-0.01661732853422137,0.09725382643259776,,,
D,effect,,,36950.0,0.00702267619625796,0.05477915668930337,0.0809101021285078,0.054371341705761016,0.09882328020568497,,,
C,cause,,,,,,,,,0.031541805666574003,0.07478325939438177,0.06355571814737253
C,effect,,,,,,,,,0.07393585774470615,0.11396324616701292,0.09824798557099501
